City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Kabompo,ZM,-13.5927,24.2008,65.82,92,76,2.89,light rain
208,Girona,ES,41.9831,2.8249,53.35,72,20,1.01,few clouds
209,Sharya,RU,58.3686,45.5144,20.62,92,100,10.45,overcast clouds
210,Vila,PT,42.0304,-8.1588,49.08,79,4,4.41,clear sky
211,Pochutla,MX,15.7432,-96.4661,86.83,44,0,7.4,clear sky
212,Tucuman,AR,-26.8241,-65.2226,75.2,83,100,6.91,overcast clouds
213,Tiksi,RU,71.6872,128.8694,-5.3,84,100,14.29,overcast clouds
214,Turayf,SA,31.6725,38.6637,37.65,75,0,6.91,clear sky
215,Imbituba,BR,-28.24,-48.6703,91.29,67,1,15.64,clear sky
216,Santa Maria,BR,-29.6842,-53.8069,97.9,41,20,6.91,few clouds
217,Zhigansk,RU,66.7697,123.3711,-16.13,97,100,17.49,overcast clouds
218,Pozhva,RU,59.0912,56.0847,19.24,93,100,12.46,light snow
219,Rawson,AR,-43.3002,-65.1023,64.69,100,75,18.41,drizzle
220,Marsa Matruh,EG,31.3525,27.2453,55.6,62,40,4.61,scattered clouds
221,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,97.7,25,28,1.95,scattered clouds
222,Westport,US,41.1415,-73.3579,34.41,84,100,1.99,light snow
223,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,40,4.61,scattered clouds
224,Kattivakkam,IN,13.2167,80.3167,78.89,74,21,6.35,few clouds
225,Townsville,AU,-19.25,146.8,79.68,69,98,9.22,overcast clouds
226,Bengkulu,ID,-3.8004,102.2655,75.09,88,100,5.03,heavy intensity rain
227,Norman Wells,CA,65.282,-126.8329,-12.96,70,100,14.97,light snow
228,Khatanga,RU,71.9667,102.5,-13.56,93,99,6.26,overcast clouds
229,Marystown,CA,47.1666,-55.1483,41.86,100,100,5.01,overcast clouds
230,Alofi,NU,-19.0595,-169.9187,78.69,83,55,13.8,broken clouds
231,Hirara,JP,24.8,125.2833,65.46,65,96,18.99,overcast clouds
232,Bathsheba,BB,13.2167,-59.5167,84.81,58,40,24.16,scattered clouds
233,Luocheng,CN,29.3848,104.0286,48.24,89,100,0.85,overcast clouds
234,Deltona,US,28.9005,-81.2637,78.13,53,1,1.01,clear sky
235,Khandbari,NP,27.3747,87.2039,47.86,84,93,3.13,overcast clouds
236,Korla,CN,41.7597,86.1469,29.48,46,94,6.22,overcast clouds
237,Qasigiannguit,GL,68.8193,-51.1922,21.45,97,100,4.21,overcast clouds
