City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Aqtobe,KZ,2022-01-19 06:00:42,50.2797,57.2072,5.09,78,0,2.24
118,Matara,LK,2022-01-19 06:00:43,5.9485,80.5353,83.62,66,95,3.98
119,Westport,US,2022-01-19 05:56:57,41.1415,-73.3579,28.74,72,5,1.99
120,Bengkulu,ID,2022-01-19 06:00:44,-3.8004,102.2655,76.46,92,100,5.82
121,Castro,BR,2022-01-19 06:00:44,-24.7911,-50.0119,62.73,97,78,2.19
122,Nantucket,US,2022-01-19 05:56:09,41.2835,-70.0995,25.97,59,0,19.48
123,Asau,RO,2022-01-19 06:00:45,46.4333,26.4,26.76,61,8,5.99
124,Leon,MX,2022-01-19 06:00:11,21.1167,-101.6667,56.46,29,56,2.62
125,Muramvya,BI,2022-01-19 06:00:46,-3.2682,29.6079,58.71,89,100,1.16
126,Mahebourg,MU,2022-01-19 06:00:46,-20.4081,57.7,86.25,71,98,4.83
127,Andros Town,BS,2022-01-19 06:00:47,24.7,-77.7667,67.42,59,1,9.4
128,Shaunavon,CA,2022-01-19 06:00:47,49.6501,-108.4181,-11.13,96,92,10.13
129,Puerto Baquerizo Moreno,EC,2022-01-19 06:00:37,-0.9,-89.6,72.7,88,73,5.17
130,Dikson,RU,2022-01-19 06:00:48,73.5069,80.5464,-12.26,100,91,7.23
131,Khani,GE,2022-01-19 06:00:48,41.9563,42.9566,24.37,90,100,2.66
132,Inhambane,MZ,2022-01-19 06:00:49,-23.865,35.3833,79.68,61,39,8.19
133,Cockburn Town,TC,2022-01-19 05:59:12,21.4612,-71.1419,76.89,76,93,20.15
134,Iqaluit,CA,2022-01-19 06:00:21,63.7506,-68.5145,-16.31,75,90,25.01
135,Kuusamo,FI,2022-01-19 06:00:50,65.9667,29.1833,32.04,100,100,14.97
136,Nizhnevartovsk,RU,2022-01-19 06:00:50,60.9344,76.5531,17.62,93,100,13.42
137,Alegrete,BR,2022-01-19 06:01:49,-29.7831,-55.7919,79.56,57,68,10.11
138,Baruun-Urt,MN,2022-01-19 06:01:51,46.6806,113.2792,4.86,72,100,1.9
139,Bawku,GH,2022-01-19 06:01:52,11.0616,-0.2417,65.35,15,0,10.25
140,Camopi,GF,2022-01-19 06:01:52,3.1655,-52.3158,70.59,99,75,1.48
141,Veraval,IN,2022-01-19 06:01:53,20.9,70.3667,78.24,32,10,4.7
142,Saint-Georges,GD,2022-01-19 06:00:12,12.0564,-61.7485,77.61,77,37,15.66
143,Macamic,CA,2022-01-19 06:01:53,48.7502,-78.9996,-0.17,92,100,8.25
144,Verkhnyaya Toyma,RU,2022-01-19 06:01:54,62.2349,44.9985,-9.24,100,99,2.8
145,Nuuk,GL,2022-01-19 06:01:54,64.1835,-51.7216,33.39,86,100,45.77
146,Longhua,CN,2022-01-19 06:01:55,23.6137,114.1919,71.46,35,0,3.58
147,Mahina,PF,2022-01-19 06:01:55,-17.5065,-149.489,78.57,78,75,6.91
148,Kem,RU,2022-01-19 06:01:56,64.9555,34.5793,31.66,93,100,14.14
149,Ponta Do Sol,PT,2022-01-19 06:01:56,32.6667,-17.1,66.0,91,100,15.3
150,Barrow,US,2022-01-19 06:01:57,71.2906,-156.7887,-14.78,70,100,12.66
151,Kodinar,IN,2022-01-19 06:01:57,20.7903,70.7031,80.69,27,6,2.04
152,Caravelas,BR,2022-01-19 06:01:58,-17.7125,-39.2481,74.53,94,21,2.71
153,Daru,PG,2022-01-19 06:01:58,-9.0763,143.2092,83.25,78,100,4.85
154,Bonavista,CA,2022-01-19 06:01:58,48.6499,-53.1147,40.12,91,85,14.74
155,Vestmannaeyjar,IS,2022-01-19 06:01:59,63.4427,-20.2734,33.67,65,27,22.91
156,Finschhafen,PG,2022-01-19 06:01:59,-6.6024,147.8681,84.9,71,100,4.94
157,Batagay,RU,2022-01-19 06:02:00,67.6333,134.6333,-39.35,96,94,2.59
158,Sungaipenuh,ID,2022-01-19 06:02:00,-2.0833,101.3833,72.14,83,100,2.86
159,Riyadh,SA,2022-01-19 05:59:57,24.6877,46.7219,48.34,36,20,4.72
160,Ilesha,NG,2022-01-19 06:02:01,7.1371,5.2583,69.4,87,40,3.18
161,Kaitangata,NZ,2022-01-19 06:02:02,-46.2817,169.8464,56.93,78,100,11.3
162,Bonanza,NI,2022-01-19 06:02:02,14.0289,-84.591,64.6,99,35,2.77
163,Norman Wells,CA,2022-01-19 06:02:03,65.282,-126.8329,-12.26,91,89,5.82
164,Gagatli,RU,2022-01-19 06:02:03,42.8013,46.2916,19.18,62,100,3.24
165,Hithadhoo,MV,2022-01-19 06:02:03,-0.6,73.0833,82.76,72,94,8.46
166,Tasiilaq,GL,2022-01-19 06:02:04,65.6145,-37.6368,19.56,69,100,3.94
