City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
91,Chuy,UY,83.79,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
101,Acajutla,SV,87.8,clear sky,13.5928,-89.8275,asi es
107,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
108,Lompoc,US,71.13,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
110,Abonnema,NG,80.13,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
111,Sao Joao Da Barra,BR,87.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
116,Conceicao Do Araguaia,BR,87.84,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
120,Salima,MW,70.34,scattered clouds,-13.7804,34.4587,YAMIKANI LODGE
122,Sijunjung,ID,70.92,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
124,Ketou,BJ,89.44,scattered clouds,7.3633,2.5998,Residences Celine Hotel Ketou
127,Saldanha,ZA,75.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
132,Hilo,US,70.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
136,Saint-Pierre,RE,80.24,broken clouds,-21.3393,55.4781,Lindsey Hôtel
138,Ugoofaaru,MV,81.39,scattered clouds,5.6667,73.0,Ungoofaaru Inn
139,Edgewater,US,78.3,few clouds,28.9889,-80.9023,Islander Beach Resort
141,Vallenar,CL,88.03,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
145,Mar Del Plata,AR,74.08,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
147,Mareeba,AU,72.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
148,Banda Aceh,ID,77.77,few clouds,5.5577,95.3222,Sulthan Hotel International
149,Tamandare,BR,84.72,clear sky,-8.7597,-35.1047,Pousada 100 Passos
152,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
153,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
159,Kavieng,PG,79.39,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
160,Casino,AU,73.15,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
162,Hualmay,PE,76.37,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
163,Kalmunai,LK,73.81,broken clouds,7.4167,81.8167,VS Villa
167,Dingle,PH,72.73,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
168,Mocuba,MZ,70.63,light rain,-16.8392,36.9856,Phama Lodge
173,Mogadishu,SO,78.85,scattered clouds,2.0371,45.3438,Hotel Juba
175,Aitape,PG,76.71,overcast clouds,-3.1374,142.3475,
176,Samarai,PG,80.26,overcast clouds,-10.6167,150.6667,Nuli Sapi
179,Cockburn Town,TC,78.58,clear sky,21.4612,-71.1419,Osprey Beach Hotel
185,Yendi,GH,85.89,few clouds,9.4427,-0.0099,Eyarro Lodge
187,Sao Raimundo Das Mangabeiras,BR,87.13,scattered clouds,-7.0219,-45.4811,Hotel Tropical
193,Labuhan,ID,75.31,overcast clouds,-6.8844,112.2051,DoubleFAG
195,Auki,SB,76.78,moderate rain,-8.7676,160.7034,Auki Motel
196,Kupang,ID,76.42,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
197,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
200,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
204,Baoro,CF,74.32,broken clouds,5.6667,15.9667,
211,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
212,Tucuman,AR,75.2,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
223,Bambous Virieux,MU,81.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
224,Kattivakkam,IN,78.89,few clouds,13.2167,80.3167,Euronova Freezer
225,Townsville,AU,79.68,overcast clouds,-19.25,146.8,Rydges Southbank Townsville
226,Bengkulu,ID,75.09,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
230,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
232,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
234,Deltona,US,78.13,clear sky,28.9005,-81.2637,Travelodge by Wyndham Deltona
238,Sambava,MG,75.83,moderate rain,-14.2667,50.1667,Melrose
239,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
243,Caravelas,BR,83.71,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
245,Nouakchott,MR,84.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
247,Araouane,ML,70.65,clear sky,18.9048,-3.5265,
248,Port Lincoln,AU,70.65,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
252,Allanridge,ZA,76.6,scattered clouds,-27.7543,26.6438,The Hatchery
253,Charters Towers,AU,72.28,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
254,Kawalu,ID,70.83,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
255,Kailua,US,75.18,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
256,Ballina,AU,73.36,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
261,Trinidad,BO,89.58,scattered clouds,-14.8333,-64.9,Hotel Piesta
264,Chengannur,IN,73.74,scattered clouds,9.3333,76.6333,Hotel Santhi Palace
265,Durania,CO,76.12,overcast clouds,7.7131,-72.6576,Hotel Santa Rosa
273,Cidreira,BR,82.56,few clouds,-30.1811,-50.2056,Hotel Castelo
274,Kununurra,AU,80.58,light rain,-15.7667,128.7333,Hotel Kununurra
276,Bubaque,GW,79.05,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
278,Buchanan,LR,87.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
281,Mbandaka,CD,78.28,overcast clouds,0.0487,18.2603,Guest House Epervier
286,Chikwawa,MW,74.5,broken clouds,-16.0335,34.8009,Thawale Lodge
287,Kinablangan,PH,77.11,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
289,Xaltianguis,MX,74.71,clear sky,17.0667,-99.8333,
291,Tena,EC,80.76,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
294,Nuevitas,CU,85.44,clear sky,21.5453,-77.2644,Hotel Caonaba
295,Miramar,US,81.01,overcast clouds,25.9873,-80.2323,Casa Miramar
297,Tual,ID,81.66,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
299,Koindu,GN,85.8,broken clouds,8.4386,-10.3253,
302,Thinadhoo,MV,81.82,overcast clouds,0.5333,72.9333,
303,Nata,PA,89.47,clear sky,8.3333,-80.5167,Rey David
